scenario,description,horizon_days,gross_hormuz_loss_mbd,bypass_mbd,total_physical_loss_mbd,demand_response_mbd,policy_offset_mbd,net_supply_gap_mbd,net_supply_gap_pct,brent_price,wti_price,composite_crack,recession_probability,upstream_earnings_billion,energy_products_earnings_billion,chemical_earnings_billion,specialty_earnings_billion,corporate_earnings_billion,net_income_billion,free_cash_flow_billion,eps,adjusted_pe,pe_value,fcf_value,factor_value,implied_price_deterministic,deterministic_return_pct,implied_price_p10,implied_price_p50,implied_price_p90,simulated_brent_p50,simulated_net_income_p50,probability_above_baseline
Persistent Disruption,Severe Hormuz restriction with continued Russian refinery damage and partial policy offsets,90,13.0,2.08,12.069999999999999,3.09,4.0,4.979999999999999,0.04834951456310678,133.26988242624185,124.15342611556224,34.445,0.3720698652087849,25.11512574670717,10.194787647260274,0.6169070085492159,3.0457405043791974,-3.776275072625078,35.19628583427079,30.320701312886893,7.8458060263644205,19.300656957364716,151.42921066888445,138.06990888853264,140.73778181854564,144.61516927569355,-0.07823844835048666,137.1315883887898,144.2292607748845,151.95659370859897,133.08237131993363,35.05105386678471,0.0227
Compound Supply Shock,Effective Hormuz closure plus Russian pipeline refinery terminal and CPC losses,180,17.0,2.3400000000000003,17.46,5.15,5.0,7.3100000000000005,0.07097087378640778,154.17095393675183,144.76607529597513,37.87,0.7043433924026771,33.573767913643756,14.76328075,0.13890087075202362,3.280489430207229,-4.16601991080202,47.590419053800986,38.4449050066003,10.608653378020728,15.828747968728145,167.92170060828656,151.40807161226704,132.07187400455095,154.9719651389326,-0.012225344242320024,137.87388831194568,154.1050575775974,174.00307929960658,154.12673396561695,47.39438106251079,0.4263
Cascading Infrastructure Crisis,Year-long closure with wider Black Sea Red Sea and infrastructure disruption,365,19.0,2.4699999999999998,21.13,8.24,5.5,7.389999999999999,0.07174757281553397,154.95263254925064,145.53785099585258,40.15,0.98,46.855968925610334,24.881801250000002,-0.9051262889999059,3.737,-5.086,69.48364388661042,52.705382925306715,15.488997745566301,13.319934550120507,206.31243621790722,187.11951678473417,132.7589528111533,184.88421773494588,0.17843214006121344,146.304819127555,183.28451541698092,226.67255773600672,153.10382681429974,67.95558776624381,0.8123
Demand Destruction Threshold,Prolonged maximum disruption in which recession and demand loss erode the oil-price benefit,365,19.0,2.4699999999999998,20.53,12.875,6.0,1.6550000000000011,0.016067961165048553,109.6892778964794,100.98441139162503,38.620000000000005,0.98,22.878184506169283,23.15797475,-0.5455008671882364,3.5840000000000005,-5.131,43.94365838898105,34.89685312347874,9.795733033656052,14.038835836923518,137.52068796182613,122.91521854859765,100.96466941012586,125.0975699568561,-0.20264152945678438,107.37477187695966,125.9650054787657,163.05985190927578,108.36237197155958,43.457200002224894,0.1384
